Pilot-in-Command,Air Seconds,Above Sea Level (Meters),Drone Type,Takeoff Bat %,Takeoff Volts,Landing Bat %,Landing Volts,Max Altitude (Meters),Total Mileage (Kilometers),Difference Volts
Piloto D,0,1128.7,Phantom 3 Advanced,43,15.188,43,15.188,0.0,0.0,0.0
Piloto D,424,2560.5,Phantom 4,54,15.399,17,14.673,31.4,0.2,0.7259999999999991
Piloto D,876,22.4,Phantom 3 Advanced,95,16.952,24,14.299,88.6,6.8,2.6530000000000022
Piloto D,822,2575.1,Phantom 3 Advanced,97,17.016,21,14.088,100.5,1.7,2.927999999999999
Piloto B,1006,2631.6,Mavic Air 2,100,12.783,41,11.272,36.3,0.5,1.5109999999999992
Piloto A,1102,2476.9,Phantom 4,98,16.934,17,14.53,119.6,2.3,2.4040000000000017
Piloto D,0,1128.7,Phantom 3 Advanced,29,14.987,29,14.987,0.0,0.0,0.0
Piloto D,1073,2632.0,Phantom 3 Advanced,99,17.066,12,14.054,53.2,2.9,3.0119999999999987
Piloto A,852,2969.9,Phantom 4,98,16.952,41,14.792,427.5,3.2,2.160000000000002
Piloto B,0,2629.6,Mavic Air 2,100,12.908,100,12.851,0.0,0.0,0.05699999999999861
Piloto D,0,1128.1,Phantom 3 Advanced,43,15.183,43,15.183,0.0,0.0,0.0
Piloto D,39,1856.4,Phantom 3 Advanced,100,17.045,96,15.366,104.7,0.0,1.679000000000002
Piloto D,474,2620.4,Spark,79,12.126,13,10.732,34.7,0.3,1.3940000000000001
Piloto A,939,2560.7,Mavic Air 2,98,13.006,42,12.748,9.1,0.4,1.658999999999999
Piloto A,0,0.0,Mavic Mini,58,7.719,58,7.716,0.0,0.0,0.0030000000000001137
Piloto D,685,2092.5,Phantom 3 Advanced,94,16.647,27,14.036,97.6,6.8,2.610999999999999
Piloto D,387,2558.4,Spark,56,11.676,9,10.763,53.2,0.2,0.9130000000000003
Piloto A,1016,2563.2,Unknown Type,100,17.154,19,14.264,21.4,0.2,2.8900000000000006
Piloto B,1589,281.6,Mavic Air 2,100,12.978,14,10.979,26.2,1.0,1.9990000000000006
Piloto A,656,2620.4,Spark,99,12.601,13,10.743,12.7,0.3,1.8580000000000005
Piloto D,88,0.0,Spark,32,11.141,16,10.587,0.0,0.0,0.5540000000000003
Piloto D,62,1071.6,Phantom 3 Advanced,20,14.158,13,14.05,0.0,0.0,0.10799999999999876
Piloto A,1751,2637.5,Mavic Pro,98,11.63,46,11.222,65.2,0.6,0.40800000000000125
Piloto D,374,1021.7,Phantom 3 Advanced,50,14.512,13,13.957,28.0,0.4,0.5549999999999997
Piloto A,100,29.7,Mavic Pro,100,12.966,95,12.564,41.3,0.2,0.40199999999999925
Piloto D,345,0.0,Spark,99,12.756,39,10.936,0.0,0.0,1.8200000000000003
Piloto B,0,0.0,Mavic Air 2,99,12.995,99,13.056,0.0,0.0,-0.06099999999999994
Piloto B,1408,1106.7,Mavic Air 2,97,12.871,16,11.022,31.0,1.2,1.8490000000000002
Piloto A,783,2637.3,Mavic Pro,80,11.737,22,10.988,65.4,0.3,0.7490000000000006
Piloto A,822,1103.4,Phantom 3 Advanced,96,17.076,18,14.264,498.6,8.7,2.812000000000001
Piloto A,579,2620.8,Spark,92,12.454,13,10.67,23.2,0.3,1.7840000000000007
Piloto D,367,2560.8,Spark,56,11.611,11,10.66,83.3,0.1,0.9510000000000005
Piloto D,833,2631.9,Phantom 3 Advanced,98,16.962,15,14.123,111.1,0.4,2.8390000000000004
Piloto D,473,3.9,Phantom 3 Advanced,100,17.124,57,14.908,220.8,2.3,2.2159999999999993
Piloto D,520,22.4,Phantom 3 Advanced,63,15.802,14,14.439,103.8,3.7,1.3629999999999995
Piloto A,1088,2631.7,Mavic Pro,100,12.752,16,10.825,50.3,2.2,1.9270000000000014
Piloto D,297,1.0,Phantom 3 Advanced,98,17.039,75,15.164,34.5,2.3,1.8750000000000018
Piloto A,722,2558.0,Mavic Pro,100,13.016,54,11.399,60.5,5.1,1.6170000000000009
Piloto D,405,2503.6,Phantom 3 Advanced,55,14.71,16,14.326,220.8,1.5,0.38400000000000034
Piloto A,415,2220.4,Phantom 4,46,14.518,14,14.245,37.2,0.1,0.27300000000000146
Piloto D,105,2575.0,Phantom 3 Advanced,89,16.744,83,15.555,40.3,0.2,1.189
Piloto D,700,2554.9,Spark,98,12.732,21,10.677,38.4,0.2,2.0549999999999997
Piloto B,159,386.9,Mavic Air 2,83,12.388,75,12.061,4.7,0.0,0.32699999999999996
Piloto A,1007,359.8,Mavic Pro,100,12.57,34,10.903,51.3,1.9,1.6669999999999998
Piloto D,1019,2563.2,Phantom 3 Advanced,98,17.027,16,14.364,128.2,3.8,2.6630000000000003
Piloto D,644,2629.7,Spark,92,12.568,19,10.771,52.8,0.2,1.7969999999999988
Piloto A,138,306.4,Mavic Pro,25,10.918,14,10.829,44.7,0.2,0.08899999999999864
Piloto D,4,2560.8,Spark,93,12.528,93,12.199,0.2,0.0,0.3290000000000006
Piloto A,908,853.8,Phantom 4,89,16.86,31,14.417,65.6,2.3,2.4429999999999996
Piloto D,296,2560.6,Spark,46,11.386,9,10.539,21.6,0.1,0.8469999999999995
Piloto D,785,362.8,Phantom 3 Advanced,100,17.187,12,14.045,110.9,10.1,3.1420000000000012
Piloto D,483,2620.2,Spark,73,12.024,10,10.719,51.9,0.7,1.3049999999999997
Piloto A,784,2632.2,Mavic Pro,100,12.656,42,11.245,3.8,0.2,1.4110000000000014
Piloto D,913,1067.4,Phantom 3 Advanced,95,16.995,12,14.034,17.3,1.8,2.9610000000000003
Piloto B,250,2620.9,Spark,98,13.006,67,12.748,55.7,0.1,1.658999999999999
Piloto D,1018,260.5,Phantom 3 Advanced,96,17.017,15,14.148,80.8,6.6,2.8689999999999998
Piloto B,31,0.0,Spark,32,11.235,28,10.852,0.7,0.0,0.3829999999999991
Piloto B,191,2614.4,Spark,95,12.698,70,11.71,15.2,0.1,0.9879999999999995
Piloto A,158,2631.3,Mavic Pro,62,11.829,51,11.157,2.5,0.1,0.6720000000000006
Piloto D,678,2620.4,Spark,99,12.732,9,10.652,54.5,0.9,2.08
Piloto D,306,18.6,Phantom 3 Advanced,96,16.987,70,15.054,55.3,1.6,1.932999999999998
Piloto B,245,1662.9,Mavic Air 2,94,12.555,80,12.086,31.4,0.2,0.4689999999999994
Piloto A,323,2180.0,Mavic Pro,61,11.482,39,11.125,76.3,0.3,0.3569999999999993
Piloto D,682,2547.3,Spark,97,12.565,10,10.559,18.1,0.9,2.0060000000000002
Piloto D,990,62.8,Phantom 3 Advanced,93,16.743,14,14.03,61.8,5.8,2.712999999999999
Piloto A,750,2543.6,Spark,99,12.227,13,10.702,94.1,0.8,1.5250000000000004
Piloto D,317,2563.9,Spark,57,11.542,16,10.694,17.1,0.1,0.847999999999999
Piloto A,0,2924.1,Spark,94,12.661,94,12.598,0.0,0.0,0.06299999999999883
Piloto D,0,2617.4,Phantom 3 Advanced,95,16.898,95,16.517,0.0,0.0,0.3810000000000002
Piloto D,945,6.0,Phantom 3 Advanced,95,16.949,15,14.289,23.1,1.7,2.660000000000002
Piloto A,8,2620.3,Mavic Pro,99,12.705,99,12.454,1.5,0.0,0.25099999999999945
Piloto A,1016,583.4,Phantom 3 Advanced,96,16.789,15,14.056,206.3,3.9,2.7330000000000023
Piloto D,830,1.4,Phantom 3 Advanced,69,16.005,12,14.552,30.7,2.1,1.4529999999999994
Piloto D,55,2554.6,Spark,67,11.743,60,11.33,43.9,0.1,0.41300000000000026
Piloto D,587,2562.5,Spark,87,12.422,14,10.795,15.7,0.3,1.6270000000000007
Piloto A,885,2850.9,Mavic Pro,100,12.626,27,10.922,224.3,1.4,1.7039999999999988
Piloto B,687,2620.7,Spark,99,12.837,15,10.802,37.6,0.3,2.035
Piloto D,820,405.0,Phantom 3 Advanced,85,16.303,14,14.033,241.0,4.1,2.2700000000000014
Piloto A,0,2632.5,Mavic Pro,100,12.74,100,12.681,0.0,0.0,0.05900000000000105
Piloto B,124,2615.5,Mavic Air 2,98,12.804,91,12.554,42.8,0.1,0.25
Piloto A,747,0.0,Phantom 4,93,16.596,42,14.573,0.0,0.0,2.0229999999999997
Piloto D,62,1071.7,Phantom 3 Advanced,20,14.158,13,14.05,0.0,0.0,0.10799999999999876
Piloto A,237,2557.6,Phantom 4,60,15.655,41,14.66,52.2,1.1,0.9949999999999992
Piloto A,486,7.1,Mavic Pro,100,12.872,70,11.761,66.0,1.2,1.1110000000000007
Piloto A,477,2629.8,Mavic Air 2,100,13.019,73,11.975,15.8,0.2,1.0440000000000005
Piloto A,540,2620.7,Spark,98,12.298,27,10.91,74.7,0.4,1.388
Piloto A,1502,673.4,Mavic Air 2,99,12.963,16,11.017,40.3,1.0,1.9459999999999997
Piloto D,836,4.9,Phantom 3 Advanced,68,15.957,8,14.477,24.7,1.5,1.4800000000000004
Piloto A,550,2553.1,Phantom 4,68,15.965,24,14.57,3.8,0.8,1.3949999999999996
Piloto D,904,961.0,Phantom 3 Advanced,96,16.955,11,14.19,500.4,5.2,2.764999999999999
Piloto B,640,2560.8,Spark,99,12.776,18,10.71,73.3,0.3,2.065999999999999
Piloto D,474,2561.2,Mavic Mini,94,8.18,34,7.225,2.7,0.2,0.9550000000000001
Piloto A,755,2595.6,Spark,97,12.536,8,10.57,51.5,1.0,1.9659999999999993
Piloto A,314,884.3,Phantom 4,100,17.29,81,15.84,47.4,0.7,1.4499999999999993
Piloto A,964,2.2,Phantom 3 Advanced,96,16.926,18,14.008,81.4,1.6,2.9179999999999993
Piloto A,1144,2631.2,Mavic Pro,100,12.84,11,10.876,53.2,2.5,1.9640000000000004
Piloto D,784,273.6,Phantom 3 Advanced,96,16.946,16,14.178,81.6,7.8,2.7680000000000007
Piloto D,668,1.7,Phantom 3 Advanced,73,16.169,24,14.25,7.7,1.8,1.9190000000000005
Piloto A,829,2632.4,Mavic Pro,100,12.763,40,11.095,67.0,1.1,1.6679999999999993
Piloto B,1491,2556.0,Mavic Air 2,100,13.006,16,12.748,72.9,1.6,1.658999999999999
Piloto A,516,1425.1,Mavic Pro,56,10.988,16,10.86,72.1,0.2,0.1280000000000001
Piloto B,1018,285.1,Mavic Air 2,100,12.86,46,11.414,30.1,0.4,1.4459999999999997
Piloto B,366,772.2,Mavic Air 2,100,12.969,82,12.348,9.0,0.2,0.6209999999999987
Piloto D,749,2903.5,Phantom 3 Advanced,98,17.053,25,14.166,223.5,7.5,2.8870000000000005
Piloto B,401,2629.9,Mavic Air 2,99,12.765,76,12.083,16.7,0.2,0.6820000000000004
Piloto A,231,1581.3,Phantom 3 Advanced,96,16.972,80,15.002,83.8,1.6,1.9700000000000006
Piloto A,1105,2631.7,Mavic Pro,98,12.322,15,10.904,67.7,1.9,1.4179999999999993
Piloto A,1466,2558.4,Mavic Air 2,99,12.958,13,10.874,28.7,0.4,2.0839999999999996
Piloto B,1579,1364.5,Mavic Air 2,100,12.813,10,10.926,45.8,1.6,1.8870000000000005
Piloto A,788,2569.4,Phantom 3 Advanced,96,16.809,20,14.229,62.6,4.4,2.580000000000002
Piloto A,280,2631.9,Mavic Pro,99,12.808,79,11.787,51.9,0.2,1.020999999999999
Piloto A,331,2635.6,Phantom 3 Advanced,48,14.225,14,14.155,66.0,0.1,0.07000000000000028
Piloto A,228,1323.7,Phantom 3 Professional,74,16.089,57,14.541,30.1,0.8,1.5479999999999983
Piloto A,1010,438.1,Phantom 3 Advanced,98,16.446,14,14.338,111.8,6.3,2.1080000000000023
Piloto B,542,2560.2,Spark,85,12.276,18,10.848,80.5,0.3,1.427999999999999
Piloto B,0,0.0,Spark,94,12.553,94,12.499,0.0,0.0,0.05400000000000027
Piloto D,402,2546.1,Phantom 3 Advanced,51,15.494,11,14.059,69.8,3.1,1.4350000000000005
Piloto D,643,1497.0,Phantom 3 Advanced,81,16.451,16,13.925,263.6,4.4,2.526
Piloto A,1350,2631.6,Mavic Air 2,100,12.705,18,10.984,65.8,2.6,1.721
Piloto B,0,2560.9,Spark,99,12.719,98,12.7,0.0,0.0,0.019000000000000128
Piloto A,907,2632.3,Mavic Pro,100,12.613,33,11.074,3.5,0.3,1.5389999999999997
Piloto A,3,281.0,Unknown Type,99,16.404,99,16.43,31.0,0.0,-0.0259999999999998
Piloto A,0,2620.4,Spark,95,12.654,94,12.595,0.4,0.0,0.058999999999999275
Piloto D,810,2628.8,Phantom 3 Advanced,97,16.937,22,14.203,114.7,0.2,2.7340000000000018
Piloto A,357,5.0,Phantom 3 Advanced,46,15.291,17,14.074,9.8,0.4,1.2170000000000005
Piloto A,570,2620.5,Spark,99,12.714,24,10.694,9.2,0.2,2.0199999999999996
Piloto D,50,4.4,Phantom 3 Advanced,63,14.954,60,14.839,13.0,0.1,0.11500000000000021
Piloto A,691,2636.0,Mavic Pro,69,11.901,17,10.783,65.5,0.3,1.1180000000000003
Piloto A,418,540.8,Phantom 4,100,17.334,72,15.56,31.7,0.8,1.7739999999999991
Piloto A,585,2568.3,Phantom 4,99,16.967,52,14.772,61.9,1.3,2.1949999999999985
Piloto D,29,2557.5,Matrice 210 RTK V2,94,25.543,92,24.51,1.9,0.0,1.0329999999999977
Piloto D,0,2826.7,Spark,91,12.47,91,12.511,0.0,0.0,-0.04099999999999859
Piloto D,343,2546.0,Phantom 3 Advanced,97,16.912,68,14.846,24.7,1.2,2.065999999999999
Piloto D,0,1128.1,Phantom 3 Advanced,43,15.194,43,15.194,0.0,0.0,0.0
Piloto D,526,302.9,Phantom 3 Advanced,98,17.134,51,14.672,251.2,2.3,2.4619999999999997
Piloto A,80,2620.4,Spark,93,12.664,84,11.964,13.3,0.0,0.6999999999999993
Piloto D,852,2628.9,Phantom 3 Advanced,97,16.932,15,13.946,90.6,0.6,2.985999999999999
Piloto A,543,2554.0,Mavic Pro,56,11.557,14,11.041,60.4,0.2,0.516
Piloto D,432,3.4,Phantom 3 Advanced,100,17.108,71,15.736,23.7,1.1,1.3719999999999999
Piloto A,0,1582.7,Mavic Air 2,100,12.831,100,12.979,0.5,0.0,-0.1479999999999997
Piloto D,0,1128.7,Phantom 3 Advanced,43,15.188,43,15.188,0.0,0.0,0.0
Piloto D,196,1019.7,Phantom 3 Advanced,55,15.607,40,14.381,95.6,0.1,1.225999999999999
Piloto A,659,188.0,Mavic Pro,100,12.975,60,11.553,51.9,3.8,1.4219999999999988
Piloto D,720,5.1,Phantom 3 Advanced,98,17.109,41,14.623,149.4,4.6,2.4860000000000024
Piloto A,585,258.3,Phantom 3 Professional,48,15.199,44,14.325,47.5,2.5,0.8740000000000006
Piloto D,0,404.9,Phantom 3 Advanced,85,16.377,85,16.216,0.0,0.0,0.1609999999999978
Piloto A,795,794.6,Mavic Air 2,100,13.038,58,11.596,37.8,1.3,1.4420000000000002
Piloto D,0,1953.7,Phantom 3 Advanced,94,16.875,94,16.761,0.0,0.0,0.11400000000000077
Piloto A,558,2575.5,Phantom 4,99,16.908,55,14.688,71.4,1.7,2.2200000000000006
Piloto A,156,2620.2,Mavic Pro,100,12.207,89,11.779,15.7,0.1,0.4280000000000008
Piloto B,483,223.6,Mavic Air 2,100,12.985,75,12.174,20.3,0.2,0.8109999999999999
Piloto B,479,386.4,Mavic Air 2,96,12.927,71,12.103,29.3,0.2,0.8239999999999998
Piloto D,339,592.3,Phantom 3 Advanced,98,17.127,70,14.962,146.4,2.0,2.164999999999999
Piloto A,1270,305.9,Phantom 4,100,16.952,12,14.19,100.8,3.9,2.7620000000000022
Piloto A,391,1303.0,Mavic Pro,59,11.33,33,11.179,200.4,0.1,0.1509999999999998
Piloto D,0,0.0,Spark,42,11.288,42,11.278,0.0,0.0,0.009999999999999787
Piloto D,120,2881.5,Phantom 3 Advanced,41,15.058,27,14.003,5.4,0.5,1.0549999999999997
Piloto A,709,2631.9,Mavic Pro,100,12.923,52,11.274,63.7,2.2,1.649000000000001
Piloto B,878,2647.0,Mavic Air 2,100,12.636,46,11.394,71.8,1.2,1.241999999999999
Piloto A,555,1424.3,Mavic Pro,98,12.712,58,11.181,72.0,2.7,1.5310000000000006
Piloto D,718,2560.8,Spark,99,12.718,6,10.732,84.9,0.2,1.9860000000000007
Piloto B,342,884.9,Mavic Air 2,52,11.603,33,11.216,19.7,0.4,0.38700000000000045
Piloto A,38,2594.0,Phantom 3 Advanced,66,15.645,63,14.614,7.7,0.0,1.0309999999999988
Piloto A,477,2558.7,Mavic Pro,53,11.352,17,10.919,76.9,0.5,0.43299999999999983
Piloto A,265,696.7,Phantom 3 Professional,96,16.84,75,15.252,26.1,0.5,1.5879999999999992
Piloto D,423,259.3,Phantom 3 Advanced,51,15.337,12,14.195,30.1,0.1,1.1419999999999995
Piloto A,587,2632.1,Mavic Pro,62,11.759,14,10.924,79.5,0.3,0.8350000000000009
Piloto B,237,1242.1,Mavic Air 2,81,12.382,68,11.809,6.7,0.1,0.5730000000000004
Piloto A,70,317.4,Mavic Air 2,89,12.672,85,12.501,51.4,0.0,0.17100000000000115
Piloto A,507,2215.2,Phantom 4,100,16.842,62,14.901,100.8,1.4,1.940999999999999
Piloto B,661,2620.7,Spark,100,12.77,9,10.731,5.3,0.2,2.0389999999999997
Piloto D,0,1333.0,Spark,100,12.797,100,12.797,0.0,0.0,0.0
Piloto D,660,311.2,Spark,97,12.615,12,10.86,18.2,0.2,1.7550000000000008
Piloto D,426,2558.0,Matrice 210 RTK V2,96,25.865,71,23.58,130.1,2.6,2.285
Piloto A,957,2632.1,Mavic Pro,100,12.606,29,10.904,69.3,0.3,1.702
Piloto D,131,2668.2,Phantom 3 Advanced,31,15.049,17,14.159,0.8,0.1,0.8899999999999988
Piloto A,525,2620.4,Spark,98,12.543,32,10.735,63.4,0.2,1.8079999999999998
Piloto A,52,2635.7,Phantom 3 Advanced,100,16.967,96,14.793,28.8,0.0,2.1739999999999995
Piloto A,213,2620.3,Mavic Pro,61,11.814,44,11.42,26.8,0.1,0.39400000000000013
Piloto A,801,4.6,Phantom 3 Advanced,98,17.089,36,14.409,23.9,1.0,2.679999999999998
Piloto B,862,2515.8,Mavic Air 2,100,12.908,51,11.472,2.2,0.3,1.436
Piloto D,945,6.0,Phantom 3 Advanced,95,16.949,15,14.289,23.1,1.7,2.660000000000002
Piloto B,318,2629.7,Phantom 3 Professional,80,16.103,50,14.161,52.8,0.7,1.942000000000002
Piloto B,1005,2699.3,Mavic Air 2,99,12.843,41,11.282,23.5,1.3,1.561
Piloto D,144,1.5,Phantom 3 Advanced,43,15.195,33,13.915,46.0,0.4,1.2800000000000011
Piloto D,725,2561.1,Spark,100,12.702,8,10.633,109.6,0.7,2.069000000000001
Piloto A,72,2556.8,Mavic Air 2,89,12.656,85,12.258,1.3,0.0,0.39800000000000146
Piloto A,104,2557.6,Phantom 4,70,15.198,61,14.902,51.1,0.3,0.29600000000000115
Piloto D,35,0.0,Spark,70,11.874,66,11.451,0.0,0.0,0.42300000000000004
Piloto A,831,1510.8,Phantom 3 Professional,100,16.829,24,14.051,34.3,2.9,2.7780000000000005
Piloto A,0,306.7,Mavic Pro,38,11.344,38,11.318,0.0,0.0,0.0259999999999998
Piloto D,0,2477.8,Phantom 3 Advanced,98,17.059,98,16.836,0.0,0.0,0.22300000000000253
Piloto A,0,0.0,Spark,100,12.55,100,12.582,0.0,0.0,-0.03200000000000003
Piloto D,767,288.2,Phantom 3 Advanced,91,15.575,16,14.159,97.1,6.3,1.4159999999999986
Piloto D,798,2881.2,Phantom 3 Advanced,97,17.022,15,14.181,32.9,2.2,2.8409999999999993
Piloto D,670,3121.2,Spark,97,12.629,6,10.69,55.4,0.3,1.939
Piloto D,317,7.2,Phantom 3 Advanced,40,15.171,12,13.906,50.6,1.3,1.2649999999999988
Piloto B,333,1242.1,Mavic Air 2,100,12.694,82,12.202,45.6,0.4,0.4920000000000009
Piloto A,728,2543.6,Spark,97,12.649,12,10.673,73.4,0.7,1.975999999999999
Piloto A,0,0.0,Phantom 4,54,15.426,54,15.372,0.0,0.0,0.05400000000000027
Piloto A,305,2631.8,Mavic Pro,100,12.631,79,11.702,51.1,0.3,0.9290000000000003
Piloto D,0,1127.8,Phantom 3 Advanced,44,15.181,44,15.181,0.0,0.0,0.0
Piloto D,0,1128.1,Phantom 3 Advanced,43,15.187,43,15.187,0.0,0.0,0.0
Piloto D,592,2575.2,Spark,94,12.528,16,10.838,9.9,0.2,1.6900000000000013
Piloto A,644,2620.3,Spark,99,12.569,10,10.713,65.8,0.9,1.8560000000000016
Piloto A,2,0.0,Spark,99,12.599,99,12.013,0.0,0.0,0.5860000000000003
Piloto D,0,2561.6,Phantom 3 Professional,87,16.599,87,16.54,0.0,0.0,0.05900000000000105
Piloto A,900,17.6,Mavic Pro,100,12.717,45,11.244,21.4,0.6,1.4730000000000008
Piloto D,14,2560.8,Spark,98,12.757,96,12.207,1.2,0.0,0.5499999999999989
Piloto B,672,2560.9,Spark,95,12.536,13,10.757,80.9,0.2,1.779
Piloto D,637,2555.4,Phantom 3 Advanced,87,15.878,23,14.191,18.1,0.2,1.6869999999999994
Piloto D,684,2620.4,Spark,99,12.812,9,10.575,56.5,0.9,2.237
Piloto B,675,2620.7,Spark,100,12.65,8,10.62,65.1,0.7,2.030000000000001
Piloto D,741,4.6,Phantom 3 Advanced,100,17.098,45,14.598,64.1,2.5,2.4999999999999982
Piloto A,1136,2631.8,Mavic Pro,100,12.874,21,10.921,54.2,2.4,1.9530000000000012
Piloto D,899,1325.8,Phantom 3 Advanced,96,16.806,22,14.109,118.2,2.2,2.697000000000001
Piloto D,0,1128.1,Phantom 3 Advanced,43,15.183,43,15.183,0.0,0.0,0.0
Piloto A,1324,583.4,Phantom 4,99,17.119,9,14.16,250.2,11.0,2.9589999999999996
Piloto D,806,362.5,Phantom 3 Advanced,97,17.123,11,14.13,168.6,10.5,2.9930000000000003
Piloto D,1400,8.5,Matrice 210 RTK V2,99,26.16,19,22.087,130.3,12.1,4.073
Piloto A,683,580.1,Phantom 3 Advanced,96,16.919,35,14.312,82.3,6.5,2.607000000000001
Piloto B,0,0.0,Mavic Air 2,85,13.006,85,12.748,0.0,0.0,1.658999999999999
Piloto D,291,2620.3,Spark,99,12.642,62,11.191,65.5,0.3,1.4509999999999987
Piloto B,217,1206.9,Phantom 3 Advanced,70,16.0,52,14.612,39.6,0.2,1.388
Piloto A,560,2561.4,Mavic Pro,100,12.613,59,11.482,80.5,3.6,1.1310000000000002
Piloto D,480,1921.3,Phantom 3 Advanced,66,14.664,22,14.392,157.8,4.0,0.27200000000000024
Piloto D,0,1127.8,Phantom 3 Advanced,44,15.181,44,15.181,0.0,0.0,0.0
Piloto B,41,2620.4,Phantom 3 Advanced,49,15.046,48,12.619,12.8,0.0,2.4269999999999996
Piloto B,1544,308.6,Mavic Air 2,100,12.962,15,11.028,90.2,0.7,1.9339999999999993
Piloto A,258,1354.0,Mavic Air 2,96,13.006,81,12.748,143.2,0.3,1.658999999999999
Piloto B,664,2561.1,Spark,97,12.582,15,10.758,94.0,0.5,1.8240000000000016
Piloto B,950,2629.6,Mavic Air 2,95,12.722,36,11.228,49.9,1.2,1.4939999999999998
Piloto A,199,2624.5,Mavic Pro,100,12.536,86,11.718,44.7,0.5,0.8179999999999996
Piloto A,723,1485.4,Phantom 4,88,16.178,36,14.62,20.0,0.2,1.5580000000000016
Piloto A,887,2612.4,Phantom 3 Advanced,96,16.873,15,14.036,76.3,2.2,2.8370000000000015
Piloto D,690,2620.6,Spark,99,12.857,9,10.82,64.9,0.6,2.036999999999999
Piloto A,710,1871.5,Spark,99,12.593,13,10.713,46.6,0.7,1.8800000000000008
Piloto D,63,27.8,Phantom 3 Advanced,40,14.514,34,14.594,49.5,0.3,-0.08000000000000007
Piloto B,258,284.0,Mavic Air 2,45,11.425,30,11.166,5.7,0.1,0.25900000000000034
Piloto B,320,2631.8,Mavic Air 2,98,12.687,76,12.017,71.9,0.4,0.6699999999999999
Piloto D,67,2824.5,Spark,24,11.166,16,10.759,4.5,0.0,0.40700000000000003
Piloto D,0,7.3,Phantom 3 Advanced,63,15.744,63,15.687,0.2,0.0,0.057000000000000384
Piloto B,216,2588.1,Mavic Air 2,40,11.302,26,11.057,2.0,0.1,0.24499999999999922
Piloto A,983,2620.4,Mavic Pro,99,12.659,22,10.897,67.0,2.5,1.7620000000000005
Piloto A,675,2633.2,Spark,97,12.635,11,10.642,54.8,0.8,1.9930000000000003
Piloto B,668,2620.8,Spark,98,12.634,7,10.65,51.5,0.7,1.984
Piloto D,210,255.2,Spark,51,11.544,27,10.749,10.8,0.1,0.7949999999999999
Piloto D,1285,1.0,Phantom 3 Advanced,100,17.173,14,14.431,84.4,2.4,2.741999999999999
Piloto A,144,2547.0,Phantom 4,99,17.011,88,15.345,52.1,0.1,1.6659999999999986
Piloto D,769,362.5,Phantom 3 Advanced,95,17.042,13,14.17,174.9,8.6,2.8720000000000017
Piloto B,1483,1177.0,Mavic Air 2,99,12.98,17,11.019,19.1,0.7,1.9610000000000003
Piloto D,48,2561.0,Spark,97,12.69,92,11.936,19.1,0.0,0.7539999999999996
Piloto C,260,2636.9,Mavic Pro,36,11.342,17,10.805,65.8,0.1,0.5370000000000008
Piloto D,508,2580.2,Spark,96,12.675,37,10.857,74.6,0.3,1.8180000000000014
Piloto A,1218,2632.0,Mavic Pro,100,12.679,10,10.827,51.0,2.6,1.8520000000000003
Piloto B,655,2620.7,Spark,100,12.647,8,10.785,68.3,0.4,1.862
Piloto D,246,2670.0,Phantom 3 Advanced,95,16.385,65,14.664,3.5,0.2,1.7210000000000019
Piloto A,403,2547.2,Mavic Pro,100,12.923,75,11.833,50.4,0.5,1.0899999999999999
Piloto B,611,2561.1,Spark,100,12.788,23,10.842,82.4,0.2,1.9459999999999997
Piloto A,895,1967.2,Phantom 3 Advanced,98,16.925,13,13.895,81.7,8.7,3.030000000000001
Piloto A,894,188.1,Phantom 4,97,17.006,26,14.518,121.9,9.9,2.4879999999999995
Piloto B,179,2560.9,Spark,80,12.154,58,11.262,4.1,0.1,0.8919999999999995
Piloto D,279,2587.4,Phantom 3 Professional,97,16.982,75,15.449,35.6,1.2,1.5329999999999995
Piloto D,1071,255.8,Phantom 3 Advanced,97,17.052,16,14.175,50.9,6.9,2.876999999999999
Piloto D,795,4.0,Phantom 3 Advanced,82,14.944,12,14.13,194.1,4.9,0.8140000000000001
Piloto D,71,2561.6,Spark,32,11.314,20,10.858,2.8,0.0,0.4559999999999995
Piloto A,447,1.4,Phantom 4,100,17.145,68,15.666,9.7,0.7,1.4789999999999992
Piloto A,257,583.4,Phantom 3 Advanced,97,16.888,77,15.111,168.3,0.9,1.777000000000001
Piloto A,93,2553.8,Mavic Mini,87,8.044,76,7.625,1.6,0.4,0.4190000000000005
Piloto D,0,2561.1,Phantom 3 Advanced,98,17.068,97,17.047,0.0,0.0,0.021000000000000796
Piloto A,622,1424.2,Mavic Pro,100,12.999,59,11.525,80.3,1.3,1.4740000000000002
Piloto D,567,2560.4,Spark,86,12.27,10,10.587,80.6,0.2,1.6829999999999998
Piloto D,1277,11.0,Matrice 210 RTK V2,100,26.003,27,21.969,130.1,11.4,4.033999999999999
Piloto C,117,2546.7,Mavic Pro,100,12.588,93,12.287,69.3,0.1,0.3009999999999984
Piloto A,1182,1151.8,Mavic Air 2,95,11.163,29,11.163,290.1,1.5,0.0
Piloto D,51,1087.3,Mavic Pro,75,12.103,72,11.595,34.4,0.1,0.5079999999999991
Piloto D,0,2560.5,Phantom 4,98,16.987,98,16.934,0.0,0.0,0.05299999999999727
Piloto B,1355,2556.0,Mavic Air 2,100,13.006,21,12.748,87.4,2.7,1.658999999999999
Piloto A,444,3011.4,Mavic Pro,100,12.536,66,11.336,254.7,0.5,1.1999999999999993
